,Unnamed: 0,conversation id,turn,score distilbert,score roberta,distilbert_input_score,distilbert_output_score,roberta_input_score,roberta_output_score,distilbert_input_label,distilbert_output_label,roberta_input_label,roberta_output_label
10,10,1,0,"(0.02834567427635193, 0.0025603175163269043)","(0.3261047824573897, 0.027270543686252306)",0.02834567427635193,0.0025603175163269043,0.3261047824573897,0.027270543686252306,0,0,0,0
11,11,1,1,"(0.0008255839347839355, 0.0008437633514404297)","(0.009719209891028611, 0.005698513058146139)",0.0008255839347839355,0.0008437633514404297,0.009719209891028611,0.005698513058146139,0,0,0,0
12,12,1,2,"(0.9807842969894409, 0.0025285184383392334)","(0.9731443619729832, 0.038161590932064796)",0.9807842969894409,0.0025285184383392334,0.9731443619729832,0.038161590932064796,1,0,1,0
13,13,1,3,"(0.981795072555542, 0.0006549060344696045)","(0.9722927581469525, 0.005278897065323742)",0.981795072555542,0.0006549060344696045,0.9722927581469525,0.005278897065323742,1,0,1,0
14,14,1,4,"(0.00101509690284729, 0.00116807222366333)","(0.09146454821059646, 0.009193163997268064)",0.00101509690284729,0.00116807222366333,0.09146454821059646,0.009193163997268064,0,0,0,0
15,15,1,5,"(0.0006320178508758545, 0.0006629824638366699)","(0.005417788577604036, 0.005251233866452015)",0.0006320178508758545,0.0006629824638366699,0.005417788577604036,0.005251233866452015,0,0,0,0
16,16,1,6,"(0.0005621612071990967, 0.000644385814666748)","(0.005288455485286557, 0.005803263766626113)",0.0005621612071990967,0.000644385814666748,0.005288455485286557,0.005803263766626113,0,0,0,0
17,17,1,7,"(0.17222878336906433, 0.0005623400211334229)","(0.4951698298966766, 0.015638759555493487)",0.17222878336906433,0.0005623400211334229,0.4951698298966766,0.015638759555493487,0,0,0,0
18,18,1,8,"(0.0005532205104827881, 0.0004488229751586914)","(0.006335447664875522, 0.005040841819511346)",0.0005532205104827881,0.0004488229751586914,0.006335447664875522,0.005040841819511346,0,0,0,0
19,19,1,9,"(0.0009909868240356445, 0.0008959770202636719)","(0.005442608890580902, 0.005413519897237975)",0.0009909868240356445,0.0008959770202636719,0.005442608890580902,0.005413519897237975,0,0,0,0
20,20,2,0,"(0.02821287512779236, 0.7589870989322662)","(0.017418907400208294, 0.9433677797786459)",0.02821287512779236,0.7589870989322662,0.017418907400208294,0.9433677797786459,0,1,0,1
21,21,2,1,"(0.0007410943508148193, 0.0006636381149291992)","(0.005262821472749406, 0.010760207483144126)",0.0007410943508148193,0.0006636381149291992,0.005262821472749406,0.010760207483144126,0,0,0,0
22,22,2,2,"(0.0006676912307739258, 0.002699136734008789)","(0.005396442769056604, 0.026789582066627196)",0.0006676912307739258,0.002699136734008789,0.005396442769056604,0.026789582066627196,0,0,0,0
23,23,2,3,"(0.018431782722473145, 0.0014484226703643799)","(0.03400984844805682, 0.023120367987704275)",0.018431782722473145,0.0014484226703643799,0.03400984844805682,0.023120367987704275,0,0,0,0
24,24,2,4,"(0.0006935000419616699, 0.0008053779602050781)","(0.00558575180544631, 0.005191800902272524)",0.0006935000419616699,0.0008053779602050781,0.00558575180544631,0.005191800902272524,0,0,0,0
25,25,2,5,"(0.9790960252285004, 0.006638377904891968)","(0.9122892973881809, 0.09670658471607503)",0.9790960252285004,0.006638377904891968,0.9122892973881809,0.09670658471607503,1,0,1,0
26,26,2,6,"(0.8391914367675781, 0.0006476044654846191)","(0.7341220165931898, 0.006421515688204723)",0.8391914367675781,0.0006476044654846191,0.7341220165931898,0.006421515688204723,1,0,1,0
27,27,2,7,"(0.0011583566665649414, 0.00044021010398864746)","(0.005156430034085421, 0.005333323290722511)",0.0011583566665649414,0.00044021010398864746,0.005156430034085421,0.005333323290722511,0,0,0,0
28,28,2,8,"(0.0005995631217956543, 0.000844419002532959)","(0.005500523631233158, 0.004991930820860641)",0.0005995631217956543,0.000844419002532959,0.005500523631233158,0.004991930820860641,0,0,0,0
29,29,2,9,"(0.11990204453468323, 0.8319892287254333)","(0.7066573863116777, 0.17972127761671833)",0.11990204453468323,0.8319892287254333,0.7066573863116777,0.17972127761671833,0,1,1,0
30,30,3,0,"(0.041142404079437256, 0.006477177143096924)","(0.8378986670380733, 0.07997845313220506)",0.041142404079437256,0.006477177143096924,0.8378986670380733,0.07997845313220506,0,0,1,0
31,31,3,1,"(0.0007419288158416748, 0.00045758485794067383)","(0.0061432751371369755, 0.005075568321974913)",0.0007419288158416748,0.00045758485794067383,0.0061432751371369755,0.005075568321974913,0,0,0,0
32,32,3,2,"(0.0012773871421813965, 0.0019651055335998535)","(0.00671183445666357, 0.0054178373965477755)",0.0012773871421813965,0.0019651055335998535,0.00671183445666357,0.0054178373965477755,0,0,0,0
